Amostrador,Energia,Percentual de chainbreaks
SimulatedAnnealing,50797000.0,
SimulatedAnnealing,422000.0,
SimulatedAnnealing,244156500.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,2347500.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,1962500.0,
SimulatedAnnealing,2000000.0,
SimulatedAnnealing,425000.0,
SimulatedAnnealing,146486719500.0,
SimulatedAnnealing,562500.0,
SimulatedAnnealing,2421880.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,244609400.0,
SimulatedAnnealing,2046900.0,
SimulatedAnnealing,50797500.0,
SimulatedAnnealing,2362500.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,244171900.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,797000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,146728609400.0,
SimulatedAnnealing,562500.0,
SimulatedAnnealing,2034400.0,
SimulatedAnnealing,244297000.0,
SimulatedAnnealing,2037500.0,
SimulatedAnnealing,1187500.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,10550000.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,146486332500.0,
SimulatedAnnealing,2046900.0,
SimulatedAnnealing,1984375.0,
SimulatedAnnealing,244222500.0,
SimulatedAnnealing,862500.0,
SimulatedAnnealing,562500.0,
SimulatedAnnealing,244312500.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,10172500.0,
SimulatedAnnealing,51175000.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,500000.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,244187500.0,
SimulatedAnnealing,146728921880.0,
SimulatedAnnealing,50796880.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,800000.0,
SimulatedAnnealing,10550000.0,
SimulatedAnnealing,48850000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,244547000.0,
SimulatedAnnealing,48937500.0,
SimulatedAnnealing,550000.0,
SimulatedAnnealing,244535000.0,
SimulatedAnnealing,244159500.0,
SimulatedAnnealing,407000.0,
SimulatedAnnealing,11734400.0,
SimulatedAnnealing,48907000.0,
SimulatedAnnealing,146728537500.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,50859500.0,
SimulatedAnnealing,484380.0,
SimulatedAnnealing,146484844500.0,
SimulatedAnnealing,797000.0,
SimulatedAnnealing,2344400.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,2359500.0,
SimulatedAnnealing,244235000.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,244312500.0,
SimulatedAnnealing,12110000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,2375000.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,547500.0,
SimulatedAnnealing,244175000.0,
SimulatedAnnealing,244610000.0,
SimulatedAnnealing,146728921880.0,
SimulatedAnnealing,50812500.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,485000.0,
SimulatedAnnealing,50797500.0,
SimulatedAnnealing,244162500.0,
SimulatedAnnealing,2425000.0,
SimulatedAnnealing,860000.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,175000.0,
SimulatedAnnealing,796880.0,
SimulatedAnnealing,244297500.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,50784500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2735000.0,
SimulatedAnnealing,2737500.0,
SimulatedAnnealing,421875.0,
SimulatedAnnealing,244625000.0,
SimulatedAnnealing,244297000.0,
SimulatedAnnealing,49237500.0,
SimulatedAnnealing,812500.0,
SimulatedAnnealing,2110000.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,500000.0,
SimulatedAnnealing,4312500.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,11797000.0,
SimulatedAnnealing,2125000.0,
SimulatedAnnealing,244297000.0,
SimulatedAnnealing,146484537500.0,
SimulatedAnnealing,146486796880.0,
SimulatedAnnealing,2047000.0,
SimulatedAnnealing,2347500.0,
SimulatedAnnealing,4297000.0,
SimulatedAnnealing,244547500.0,
SimulatedAnnealing,48922000.0,
SimulatedAnnealing,244237500.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,562500.0,
SimulatedAnnealing,1984500.0,
SimulatedAnnealing,860000.0,
SimulatedAnnealing,10562500.0,
SimulatedAnnealing,862500.0,
SimulatedAnnealing,244609500.0,
SimulatedAnnealing,146728550000.0,
SimulatedAnnealing,244612500.0,
SimulatedAnnealing,48875000.0,
SimulatedAnnealing,171880.0,
SimulatedAnnealing,2112500.0,
SimulatedAnnealing,244534500.0,
SimulatedAnnealing,3937500.0,
SimulatedAnnealing,1987500.0,
SimulatedAnnealing,46900.0,
SimulatedAnnealing,146728612500.0,
SimulatedAnnealing,50784500.0,
SimulatedAnnealing,2346900.0,
SimulatedAnnealing,48907500.0,
SimulatedAnnealing,244562500.0,
SimulatedAnnealing,2735000.0,
SimulatedAnnealing,11719500.0,
SimulatedAnnealing,244157500.0,
SimulatedAnnealing,2360000.0,
SimulatedAnnealing,1171900.0,
SimulatedAnnealing,2050000.0,
SimulatedAnnealing,11797500.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,11797000.0,
SimulatedAnnealing,11797000.0,
SimulatedAnnealing,146485234400.0,
SimulatedAnnealing,3910000.0,
SimulatedAnnealing,244220000.0,
SimulatedAnnealing,10547500.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,421900.0,
SimulatedAnnealing,50875000.0,
SimulatedAnnealing,244222500.0,
SimulatedAnnealing,3984500.0,
SimulatedAnnealing,11737500.0,
SimulatedAnnealing,50797500.0,
SimulatedAnnealing,550000.0,
SimulatedAnnealing,2046880.0,
SimulatedAnnealing,244609500.0,
SimulatedAnnealing,12125000.0,
SimulatedAnnealing,2062500.0,
SimulatedAnnealing,875000.0,
SimulatedAnnealing,4000000.0,
SimulatedAnnealing,50862500.0,
SimulatedAnnealing,471880.0,
SimulatedAnnealing,2750000.0,
SimulatedAnnealing,2110000.0,
SimulatedAnnealing,784500.0,
SimulatedAnnealing,550000.0,
SimulatedAnnealing,437500.0,
SimulatedAnnealing,244312500.0,
SimulatedAnnealing,11812500.0,
SimulatedAnnealing,244250000.0,
SimulatedAnnealing,2437500.0,
SimulatedAnnealing,50800000.0,
SimulatedAnnealing,244172500.0,
SimulatedAnnealing,50787500.0,
SimulatedAnnealing,244237500.0,
